iter	Passed	Remaining
348	1184	2208
349	1185	2202
350	1187	2195
351	1189	2189
352	1191	2183
353	1192	2176
354	1194	2170
355	1200	2172
356	1202	2166
357	1204	2160
358	1206	2154
359	1208	2148
360	1210	2141
361	1212	2136
362	1213	2130
363	1215	2124
364	1217	2117
365	1219	2111
366	1223	2110
367	1225	2104
368	1227	2098
369	1228	2092
370	1230	2086
371	1232	2080
372	1233	2074
373	1239	2074
374	1241	2068
375	1242	2062
376	1244	2056
377	1246	2050
378	1248	2044
379	1249	2039
380	1266	2057
381	1270	2054
382	1271	2049
383	1273	2043
384	1275	2037
385	1277	2031
386	1278	2025
387	1280	2020
388	1282	2014
389	1287	2013
390	1288	2007
391	1290	2001
392	1292	1996
393	1294	1990
394	1296	1985
395	1297	1979
396	1303	1979
397	1304	1973
398	1306	1968
399	1308	1963
400	1310	1957
401	1312	1952
402	1314	1946
403	1318	1944
404	1320	1939
405	1321	1933
406	1323	1928
407	1325	1922
408	1326	1917
409	1328	1912
410	1333	1910
411	1335	1905
412	1337	1900
413	1338	1895
414	1340	1889
415	1342	1884
416	1344	1879
417	1351	1881
418	1352	1875
419	1354	1870
420	1356	1865
421	1358	1860
422	1360	1855
423	1363	1852
424	1365	1847
425	1367	1842
426	1369	1837
427	1371	1832
428	1374	1829
429	1376	1824
430	1381	1824
431	1383	1819
432	1385	1814
